"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorLevenshtein record1Value","[0] RestaurantNameComparatorLevenshtein record2Value","[0] RestaurantNameComparatorLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatorLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatorLevenshtein similarity","[0] RestaurantNameComparatorLevenshtein postproccesedSimilarity","[1] RestaurantCityComparatorEqual record1Value","[1] RestaurantCityComparatorEqual record2Value","[1] RestaurantCityComparatorEqual record1PreprocessedValue","[1] RestaurantCityComparatorEqual record2PreprocessedValue","[1] RestaurantCityComparatorEqual similarity","[1] RestaurantCityComparatorEqual postproccesedSimilarity","[2] RestaurantPostalCodeComparatorLevenshtein record1Value","[2] RestaurantPostalCodeComparatorLevenshtein record2Value","[2] RestaurantPostalCodeComparatorLevenshtein record1PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein record2PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein similarity","[2] RestaurantPostalCodeComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","bookuber_25513","tripadvisor_29570","0.14999999999999997",,"basil und mars","subway hamburg","basil und mars","subway hamburg","0.0714285714285714","0.0714285714285714","hamburg","","hamburg","","0.0","0.0","20354","20354","20354","20354","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_22858","tripadvisor_73756","0.4217391304347826",,"la causerie","metropolitan restaurant","la causerie","metropolitan restaurant","0.17391304347826086","0.17391304347826086","paris","paris","paris","paris","1.0","1.0","75116","75116","75116","75116","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19568","tripadvisor_53654","0.3583333333333334",,"maría la lía","korgui","maría la lía","korgui","0.08333333333333337","0.08333333333333337","madrid","madrid","madrid","madrid","1.0","1.0","28005","28005","28005","28005","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15729","tripadvisor_80155","0.3583333333333334",,"ao izakaya","le multiplex","ao izakaya","le multiplex","0.08333333333333337","0.08333333333333337","paris","paris","paris","paris","1.0","1.0","75009","75009","75009","75009","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_20307","tripadvisor_75334","0.3583333333333334",,"le v","el sol comptoir espagnol","le v","el sol comptoir espagnol","0.08333333333333337","0.08333333333333337","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_20012","tripadvisor_5662","0.23999999999999996",,"zum grünen glas","the bagel hood","zum grünen glas","the bagel hood","0.19999999999999996","0.19999999999999996","zuerich","","zuerich","","0.0","0.0","8001","8001","8001","8001","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24918","tripadvisor_96224","0.1411764705882353",,"ef16","levante wollzeile","ef16","levante wollzeile","0.05882352941176472","0.05882352941176472","wien","vienna","wien","vienna","0.0","0.0","1010","1010","1010","1010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_20513","tripadvisor_72051","0.3388888888888889",,"dessirier par rostang père et filles","le 17.45","dessirier par rostang père et filles","le 17.45","0.05555555555555558","0.05555555555555558","paris","paris","paris","paris","1.0","1.0","75017","75017","75017","75017","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_5951","tripadvisor_20509","0.31000000000000005",,"mcdonald's - albert cuypstraat","rose restaurant","mcdonald's - albert cuypstraat","rose restaurant","0.30000000000000004","0.30000000000000004","amsterdam","budapest","amsterdam","budapest","0.0","0.0","1072","1072","1072","1072","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_4222","tripadvisor_73917","0.43999999999999995",,"véro l'autre cantine","chez colette","véro l'autre cantine","chez colette","0.19999999999999996","0.19999999999999996","paris","paris","paris","paris","1.0","1.0","75011","75011","75011","75011","1.0","1.0"
